Illness Name,Category
"Orthopedic Impairment, Sinus Infection","3, 0"
"Orthopedic Impairment, Influenza","3, 0"
"Orthopedic Impairment, Hepatitis A","3, 0"
"Orthopedic Impairment, Sickle Cell Disease","3, 2"
"Orthopedic Impairment, Visual Impairment","3, 3"
"Orthopedic Impairment, Hypertension","3, 2"
"Orthopedic Impairment, Endometriosis","3, 2"
"Orthopedic Impairment, Bacterial Meningitis","3, 0"
"Orthopedic Impairment, Catatonia","3, 1"
"Orthopedic Impairment, Muscular Dystrophy","3, 3"
"Orthopedic Impairment, Dwarfism","3, 3"
"Orthopedic Impairment, Pathological Gambling","3, 1"
"Orthopedic Impairment, Traumatic Brain Injury","3, 3"
"Orthopedic Impairment, Somatic Symptom Disorder","3, 1"
"Orthopedic Impairment, Anorexia","3, 1"
"Orthopedic Impairment, Polycystic Kidney Disease","3, 2"
"Orthopedic Impairment, Hip Dysplasia","3, 3"
"Orthopedic Impairment, Campylobacteriosis","3, 0"
"Orthopedic Impairment, Schizophrenia","3, 1"
"Orthopedic Impairment, Selective Mutism","3, 1"
"Orthopedic Impairment, Microcephaly","3, 3"
"Orthopedic Impairment, Psychotic Depression","3, 1"
"Orthopedic Impairment, Giardiasis","3, 0"
"Orthopedic Impairment, Mobility Impairment","3, 3"
"Orthopedic Impairment, Tetanus","3, 0"
"Orthopedic Impairment, Leptospirosis","3, 0"
"Orthopedic Impairment, Substance Use Disorder","3, 1"
"Orthopedic Impairment, Mood Disorder","3, 1"
"Orthopedic Impairment, Spastic Diplegia","3, 3"
"Orthopedic Impairment, Amyloidosis","3, 2"
"Orthopedic Impairment, Paratyphoid Fever","3, 0"
"Orthopedic Impairment, OCD","3, 1"
"Orthopedic Impairment, Scoliosis","3, 3"
"Orthopedic Impairment, Arthrogryposis","3, 3"
"Orthopedic Impairment, Arthritis","3, 2"
"Orthopedic Impairment, Claw Hand","3, 3"
"Orthopedic Impairment, Sleep Disorder","3, 1"
"Orthopedic Impairment, Polio","3, 3"
"Orthopedic Impairment, Measles","3, 0"
"Orthopedic Impairment, Hearing Loss","3, 3"
"Orthopedic Impairment, Borderline Personality Disorder","3, 1"
"Orthopedic Impairment, Short Stature","3, 3"
"Orthopedic Impairment, Delirium","3, 1"
"Orthopedic Impairment, Chikungunya","3, 0"
"Orthopedic Impairment, PTSD","3, 1"
"Orthopedic Impairment, Botulism","3, 0"
"Orthopedic Impairment, Chickenpox","3, 0"
"Orthopedic Impairment, Blindness","3, 3"
"Orthopedic Impairment, Anxiety","3, 1"
"Orthopedic Impairment, Strep Throat","3, 0"
"Orthopedic Impairment, Trichotillomania","3, 1"
"Orthopedic Impairment, ADHD","3, 1"
"Orthopedic Impairment, Amputation","3, 3"
"Orthopedic Impairment, Gout","3, 2"
"Orthopedic Impairment, Zika Virus","3, 0"
"Orthopedic Impairment, Chronic Kidney Disease","3, 2"
"Orthopedic Impairment, Paraphilic Disorder","3, 1"
"Orthopedic Impairment, Paralysis","3, 3"
"Orthopedic Impairment, Thalassemia","3, 2"
"Orthopedic Impairment, Torticollis","3, 3"
"Orthopedic Impairment, Cerebral Palsy","3, 3"
"Orthopedic Impairment, Listeriosis","3, 0"
"Orthopedic Impairment, Paranoia","3, 1"
"Orthopedic Impairment, E. coli Infection","3, 0"
"Orthopedic Impairment, COPD","3, 2"
"Orthopedic Impairment, Lupus","3, 2"
"Orthopedic Impairment, Typhoid Fever","3, 0"
"Orthopedic Impairment, Whooping Cough","3, 0"
"Orthopedic Impairment, Hand Deformity","3, 3"
"Orthopedic Impairment, Chronic Urticaria","3, 2"
"Orthopedic Impairment, Food Poisoning","3, 0"
"Orthopedic Impairment, Psychosis","3, 1"
"Orthopedic Impairment, Myasthenia Gravis","3, 2"
"Orthopedic Impairment, Peripheral Artery Disease","3, 2"
"Orthopedic Impairment, Dengue Fever","3, 0"
"Orthopedic Impairment, Coxa Vara","3, 3"
"Orthopedic Impairment, Hepatitis C","3, 0"
"Orthopedic Impairment, Asthma","3, 2"
"Orthopedic Impairment, COVID-19","3, 0"
"Orthopedic Impairment, Rheumatic Heart Disease","3, 2"
"Orthopedic Impairment, Histrionic Personality Disorder","3, 1"
"Orthopedic Impairment, Hepatitis B","3, 0"
"Orthopedic Impairment, Thyroid Disease","3, 2"
"Orthopedic Impairment, Hemiplegia","3, 3"
"Orthopedic Impairment, Chronic Appendicitis","3, 2"
"Orthopedic Impairment, Clubfoot","3, 3"
"Orthopedic Impairment, Speech Impairment","3, 3"
"Orthopedic Impairment, Fibromyalgia","3, 2"
"Orthopedic Impairment, Ulcerative Colitis","3, 2"
"Orthopedic Impairment, Osteogenesis Imperfecta","3, 3"
"Orthopedic Impairment, Muscle Weakness","3, 3"
"Orthopedic Impairment, Toxoplasmosis","3, 0"
"Orthopedic Impairment, Psoriasis","3, 2"
"Orthopedic Impairment, Narcissistic Personality Disorder","3, 1"
"Orthopedic Impairment, Phobias","3, 1"
"Orthopedic Impairment, Chronic Pancreatitis","3, 2"
"Orthopedic Impairment, Chronic Migraine","3, 2"
"Orthopedic Impairment, Cystic Fibrosis","3, 2"
"Orthopedic Impairment, Seasonal Affective Disorder","3, 1"
"Orthopedic Impairment, Frozen Shoulder","3, 3"
"Orthopedic Impairment, Bipolar Disorder","3, 1"
"Orthopedic Impairment, Chronic Fatigue Syndrome","3, 2"
"Orthopedic Impairment, Quadriplegia","3, 3"
"Orthopedic Impairment, Mania","3, 1"
"Orthopedic Impairment, Monoplegia","3, 3"
"Orthopedic Impairment, Mumps","3, 0"
"Orthopedic Impairment, Ear Infection","3, 0"
"Orthopedic Impairment, Diabetes","3, 2"
"Orthopedic Impairment, Multiple Sclerosis","3, 3"
"Orthopedic Impairment, Impulse Control Disorder","3, 1"
"Orthopedic Impairment, Autism Spectrum Disorder","3, 1"
"Orthopedic Impairment, Hyperactivity Disorder","3, 1"
"Orthopedic Impairment, Sarcoidosis","3, 2"
"Orthopedic Impairment, Drop Foot","3, 3"
"Orthopedic Impairment, Scarlet Fever","3, 0"
"Orthopedic Impairment, Tuberculosis","3, 0"
"Orthopedic Impairment, Schizoaffective Disorder","3, 1"
"Orthopedic Impairment, Common Cold","3, 0"
"Orthopedic Impairment, Celiac Disease","3, 2"
"Orthopedic Impairment, Bronchitis","3, 0"
"Orthopedic Impairment, Emotional Dysregulation","3, 1"
"Orthopedic Impairment, Chronic Bronchitis","3, 2"
"Orthopedic Impairment, Postural Deformity","3, 3"
"Orthopedic Impairment, Eating Disorder","3, 1"
"Malaria, Hemophilia","0, 2"
"Malaria, Neurocognitive Disorder","0, 1"
"Malaria, Cirrhosis","0, 2"
"Malaria, Kleptomania","0, 1"
"Malaria, Graves’ Disease","0, 2"
"Malaria, Balance Disorder","0, 3"
"Malaria, Social Anxiety Disorder","0, 1"
"Malaria, Autoimmune Hepatitis","0, 2"
"Malaria, Tic Disorders","0, 1"
"Malaria, Panic Disorder","0, 1"
"Malaria, Adjustment Disorder","0, 1"
"Malaria, Hallucination Disorder","0, 1"
"Malaria, Rabies","0, 0"
"Malaria, Crohn’s Disease","0, 2"
"Malaria, Parkinson’s Disease","0, 2"
"Malaria, Anthrax","0, 0"
"Malaria, RSV","0, 0"
"Malaria, Bulimia","0, 1"
"Malaria, Chronic Sinusitis","0, 2"
"Malaria, Norovirus","0, 0"
"Malaria, Spina Bifida","0, 3"
"Malaria, Paget's Disease","0, 2"
"Malaria, Barrett’s Esophagus","0, 2"
"Malaria, Heart Disease","0, 2"
"Malaria, Limb Girdle Disorder","0, 3"
"Malaria, Dissociative Identity Disorder","0, 1"
"Malaria, Yellow Fever","0, 0"
"Malaria, Sinus Infection","0, 0"
"Malaria, Influenza","0, 0"
"Malaria, Hepatitis A","0, 0"
"Malaria, Sickle Cell Disease","0, 2"
"Malaria, Visual Impairment","0, 3"
"Malaria, Hypertension","0, 2"
"Malaria, Endometriosis","0, 2"
"Malaria, Bacterial Meningitis","0, 0"
"Malaria, Catatonia","0, 1"
"Malaria, Muscular Dystrophy","0, 3"
"Malaria, Dwarfism","0, 3"
"Malaria, Pathological Gambling","0, 1"
"Malaria, Traumatic Brain Injury","0, 3"
"Malaria, Somatic Symptom Disorder","0, 1"
"Malaria, Anorexia","0, 1"
"Malaria, Polycystic Kidney Disease","0, 2"
"Malaria, Hip Dysplasia","0, 3"
"Malaria, Campylobacteriosis","0, 0"
"Malaria, Schizophrenia","0, 1"
"Malaria, Selective Mutism","0, 1"
"Malaria, Microcephaly","0, 3"
"Malaria, Psychotic Depression","0, 1"
"Malaria, Giardiasis","0, 0"
"Malaria, Mobility Impairment","0, 3"
"Malaria, Tetanus","0, 0"
"Malaria, Leptospirosis","0, 0"
"Malaria, Substance Use Disorder","0, 1"
"Malaria, Mood Disorder","0, 1"
"Malaria, Spastic Diplegia","0, 3"
"Malaria, Amyloidosis","0, 2"
"Malaria, Paratyphoid Fever","0, 0"
"Malaria, OCD","0, 1"
"Malaria, Scoliosis","0, 3"
"Malaria, Arthrogryposis","0, 3"
"Malaria, Arthritis","0, 2"
"Malaria, Claw Hand","0, 3"
"Malaria, Sleep Disorder","0, 1"
"Malaria, Polio","0, 3"
"Malaria, Measles","0, 0"
"Malaria, Hearing Loss","0, 3"
"Malaria, Borderline Personality Disorder","0, 1"
"Malaria, Short Stature","0, 3"
"Malaria, Delirium","0, 1"
"Malaria, Chikungunya","0, 0"
"Malaria, PTSD","0, 1"
"Malaria, Botulism","0, 0"
"Malaria, Chickenpox","0, 0"
"Malaria, Blindness","0, 3"
"Malaria, Anxiety","0, 1"
"Malaria, Strep Throat","0, 0"
"Malaria, Trichotillomania","0, 1"
"Malaria, ADHD","0, 1"
"Malaria, Amputation","0, 3"
"Malaria, Gout","0, 2"
"Malaria, Zika Virus","0, 0"
"Malaria, Chronic Kidney Disease","0, 2"
"Malaria, Paraphilic Disorder","0, 1"
"Malaria, Paralysis","0, 3"
"Malaria, Thalassemia","0, 2"
"Malaria, Torticollis","0, 3"
"Malaria, Cerebral Palsy","0, 3"
"Malaria, Listeriosis","0, 0"
"Malaria, Paranoia","0, 1"
"Malaria, E. coli Infection","0, 0"
"Malaria, COPD","0, 2"
"Malaria, Lupus","0, 2"
"Malaria, Typhoid Fever","0, 0"
"Malaria, Whooping Cough","0, 0"
"Malaria, Hand Deformity","0, 3"
"Malaria, Chronic Urticaria","0, 2"
"Malaria, Food Poisoning","0, 0"
"Malaria, Psychosis","0, 1"
"Malaria, Myasthenia Gravis","0, 2"
"Malaria, Peripheral Artery Disease","0, 2"
"Malaria, Dengue Fever","0, 0"
"Malaria, Coxa Vara","0, 3"
"Malaria, Hepatitis C","0, 0"
"Malaria, Asthma","0, 2"
"Malaria, COVID-19","0, 0"
"Malaria, Rheumatic Heart Disease","0, 2"
"Malaria, Histrionic Personality Disorder","0, 1"
"Malaria, Hepatitis B","0, 0"
"Malaria, Thyroid Disease","0, 2"
"Malaria, Hemiplegia","0, 3"
"Malaria, Chronic Appendicitis","0, 2"
"Malaria, Clubfoot","0, 3"
"Malaria, Speech Impairment","0, 3"
"Malaria, Fibromyalgia","0, 2"
"Malaria, Ulcerative Colitis","0, 2"
"Malaria, Osteogenesis Imperfecta","0, 3"
"Malaria, Muscle Weakness","0, 3"
"Malaria, Toxoplasmosis","0, 0"
"Malaria, Psoriasis","0, 2"
"Malaria, Narcissistic Personality Disorder","0, 1"
"Malaria, Phobias","0, 1"
"Malaria, Chronic Pancreatitis","0, 2"
"Malaria, Chronic Migraine","0, 2"
"Malaria, Cystic Fibrosis","0, 2"
"Malaria, Seasonal Affective Disorder","0, 1"
"Malaria, Frozen Shoulder","0, 3"
"Malaria, Bipolar Disorder","0, 1"
"Malaria, Chronic Fatigue Syndrome","0, 2"
"Malaria, Quadriplegia","0, 3"
"Malaria, Mania","0, 1"
"Malaria, Monoplegia","0, 3"
"Malaria, Mumps","0, 0"
"Malaria, Ear Infection","0, 0"
"Malaria, Diabetes","0, 2"
"Malaria, Multiple Sclerosis","0, 3"
"Malaria, Impulse Control Disorder","0, 1"
"Malaria, Autism Spectrum Disorder","0, 1"
"Malaria, Hyperactivity Disorder","0, 1"
"Malaria, Sarcoidosis","0, 2"
"Malaria, Drop Foot","0, 3"
"Malaria, Scarlet Fever","0, 0"
"Malaria, Tuberculosis","0, 0"
"Malaria, Schizoaffective Disorder","0, 1"
"Malaria, Common Cold","0, 0"
"Malaria, Celiac Disease","0, 2"
"Malaria, Bronchitis","0, 0"
"Malaria, Emotional Dysregulation","0, 1"
"Malaria, Chronic Bronchitis","0, 2"
"Malaria, Postural Deformity","0, 3"
"Malaria, Eating Disorder","0, 1"
"Hemophilia, Neurocognitive Disorder","2, 1"
"Hemophilia, Cirrhosis","2, 2"
"Hemophilia, Kleptomania","2, 1"
"Hemophilia, Graves’ Disease","2, 2"
"Hemophilia, Balance Disorder","2, 3"
"Hemophilia, Social Anxiety Disorder","2, 1"
"Hemophilia, Autoimmune Hepatitis","2, 2"
"Hemophilia, Tic Disorders","2, 1"
"Hemophilia, Panic Disorder","2, 1"
"Hemophilia, Adjustment Disorder","2, 1"
"Hemophilia, Hallucination Disorder","2, 1"
"Hemophilia, Rabies","2, 0"
"Hemophilia, Crohn’s Disease","2, 2"
"Hemophilia, Parkinson’s Disease","2, 2"
"Hemophilia, Anthrax","2, 0"
"Hemophilia, RSV","2, 0"
"Hemophilia, Bulimia","2, 1"
"Hemophilia, Chronic Sinusitis","2, 2"
"Hemophilia, Norovirus","2, 0"
"Hemophilia, Spina Bifida","2, 3"
"Hemophilia, Paget's Disease","2, 2"
"Hemophilia, Barrett’s Esophagus","2, 2"
"Hemophilia, Heart Disease","2, 2"
"Hemophilia, Limb Girdle Disorder","2, 3"
"Hemophilia, Dissociative Identity Disorder","2, 1"
"Hemophilia, Yellow Fever","2, 0"
"Hemophilia, Sinus Infection","2, 0"
"Hemophilia, Influenza","2, 0"
"Hemophilia, Hepatitis A","2, 0"
"Hemophilia, Sickle Cell Disease","2, 2"
"Hemophilia, Visual Impairment","2, 3"
"Hemophilia, Hypertension","2, 2"
"Hemophilia, Endometriosis","2, 2"
"Hemophilia, Bacterial Meningitis","2, 0"
"Hemophilia, Catatonia","2, 1"
"Hemophilia, Muscular Dystrophy","2, 3"
"Hemophilia, Dwarfism","2, 3"
"Hemophilia, Pathological Gambling","2, 1"
"Hemophilia, Traumatic Brain Injury","2, 3"
"Hemophilia, Somatic Symptom Disorder","2, 1"
"Hemophilia, Anorexia","2, 1"
"Hemophilia, Polycystic Kidney Disease","2, 2"
"Hemophilia, Hip Dysplasia","2, 3"
"Hemophilia, Campylobacteriosis","2, 0"
"Hemophilia, Schizophrenia","2, 1"
"Hemophilia, Selective Mutism","2, 1"
"Hemophilia, Microcephaly","2, 3"
"Hemophilia, Psychotic Depression","2, 1"
"Hemophilia, Giardiasis","2, 0"
"Hemophilia, Mobility Impairment","2, 3"
"Hemophilia, Tetanus","2, 0"
"Hemophilia, Leptospirosis","2, 0"
"Hemophilia, Substance Use Disorder","2, 1"
"Hemophilia, Mood Disorder","2, 1"
"Hemophilia, Spastic Diplegia","2, 3"
"Hemophilia, Amyloidosis","2, 2"
"Hemophilia, Paratyphoid Fever","2, 0"
"Hemophilia, OCD","2, 1"
"Hemophilia, Scoliosis","2, 3"
"Hemophilia, Arthrogryposis","2, 3"
"Hemophilia, Arthritis","2, 2"
"Hemophilia, Claw Hand","2, 3"
"Hemophilia, Sleep Disorder","2, 1"
"Hemophilia, Polio","2, 3"
"Hemophilia, Measles","2, 0"
"Hemophilia, Hearing Loss","2, 3"
"Hemophilia, Borderline Personality Disorder","2, 1"
"Hemophilia, Short Stature","2, 3"
"Hemophilia, Delirium","2, 1"
"Hemophilia, Chikungunya","2, 0"
"Hemophilia, PTSD","2, 1"
"Hemophilia, Botulism","2, 0"
"Hemophilia, Chickenpox","2, 0"
"Hemophilia, Blindness","2, 3"
"Hemophilia, Anxiety","2, 1"
"Hemophilia, Strep Throat","2, 0"
"Hemophilia, Trichotillomania","2, 1"
"Hemophilia, ADHD","2, 1"
"Hemophilia, Amputation","2, 3"
"Hemophilia, Gout","2, 2"
"Hemophilia, Zika Virus","2, 0"
"Hemophilia, Chronic Kidney Disease","2, 2"
"Hemophilia, Paraphilic Disorder","2, 1"
"Hemophilia, Paralysis","2, 3"
"Hemophilia, Thalassemia","2, 2"
"Hemophilia, Torticollis","2, 3"
"Hemophilia, Cerebral Palsy","2, 3"
"Hemophilia, Listeriosis","2, 0"
"Hemophilia, Paranoia","2, 1"
"Hemophilia, E. coli Infection","2, 0"
"Hemophilia, COPD","2, 2"
"Hemophilia, Lupus","2, 2"
"Hemophilia, Typhoid Fever","2, 0"
"Hemophilia, Whooping Cough","2, 0"
"Hemophilia, Hand Deformity","2, 3"
"Hemophilia, Chronic Urticaria","2, 2"
"Hemophilia, Food Poisoning","2, 0"
"Hemophilia, Psychosis","2, 1"
"Hemophilia, Myasthenia Gravis","2, 2"
"Hemophilia, Peripheral Artery Disease","2, 2"
"Hemophilia, Dengue Fever","2, 0"
"Hemophilia, Coxa Vara","2, 3"
"Hemophilia, Hepatitis C","2, 0"
"Hemophilia, Asthma","2, 2"
"Hemophilia, COVID-19","2, 0"
"Hemophilia, Rheumatic Heart Disease","2, 2"
"Hemophilia, Histrionic Personality Disorder","2, 1"
"Hemophilia, Hepatitis B","2, 0"
"Hemophilia, Thyroid Disease","2, 2"
"Hemophilia, Hemiplegia","2, 3"
"Hemophilia, Chronic Appendicitis","2, 2"
"Hemophilia, Clubfoot","2, 3"
"Hemophilia, Speech Impairment","2, 3"
"Hemophilia, Fibromyalgia","2, 2"
"Hemophilia, Ulcerative Colitis","2, 2"
"Hemophilia, Osteogenesis Imperfecta","2, 3"
"Hemophilia, Muscle Weakness","2, 3"
"Hemophilia, Toxoplasmosis","2, 0"
"Hemophilia, Psoriasis","2, 2"
"Hemophilia, Narcissistic Personality Disorder","2, 1"
"Hemophilia, Phobias","2, 1"
"Hemophilia, Chronic Pancreatitis","2, 2"
"Hemophilia, Chronic Migraine","2, 2"
"Hemophilia, Cystic Fibrosis","2, 2"
"Hemophilia, Seasonal Affective Disorder","2, 1"
"Hemophilia, Frozen Shoulder","2, 3"
"Hemophilia, Bipolar Disorder","2, 1"
"Hemophilia, Chronic Fatigue Syndrome","2, 2"
"Hemophilia, Quadriplegia","2, 3"
"Hemophilia, Mania","2, 1"
"Hemophilia, Monoplegia","2, 3"
"Hemophilia, Mumps","2, 0"
"Hemophilia, Ear Infection","2, 0"
"Hemophilia, Diabetes","2, 2"
"Hemophilia, Multiple Sclerosis","2, 3"
"Hemophilia, Impulse Control Disorder","2, 1"
"Hemophilia, Autism Spectrum Disorder","2, 1"
"Hemophilia, Hyperactivity Disorder","2, 1"
"Hemophilia, Sarcoidosis","2, 2"
"Hemophilia, Drop Foot","2, 3"
"Hemophilia, Scarlet Fever","2, 0"
"Hemophilia, Tuberculosis","2, 0"
"Hemophilia, Schizoaffective Disorder","2, 1"
"Hemophilia, Common Cold","2, 0"
"Hemophilia, Celiac Disease","2, 2"
"Hemophilia, Bronchitis","2, 0"
"Hemophilia, Emotional Dysregulation","2, 1"
"Hemophilia, Chronic Bronchitis","2, 2"
"Hemophilia, Postural Deformity","2, 3"
"Hemophilia, Eating Disorder","2, 1"
"Neurocognitive Disorder, Cirrhosis","1, 2"
"Neurocognitive Disorder, Kleptomania","1, 1"
"Neurocognitive Disorder, Graves’ Disease","1, 2"
"Neurocognitive Disorder, Balance Disorder","1, 3"
"Neurocognitive Disorder, Social Anxiety Disorder","1, 1"
"Neurocognitive Disorder, Autoimmune Hepatitis","1, 2"
"Neurocognitive Disorder, Tic Disorders","1, 1"
"Neurocognitive Disorder, Panic Disorder","1, 1"
"Neurocognitive Disorder, Adjustment Disorder","1, 1"
"Neurocognitive Disorder, Hallucination Disorder","1, 1"
"Neurocognitive Disorder, Rabies","1, 0"
"Neurocognitive Disorder, Crohn’s Disease","1, 2"
"Neurocognitive Disorder, Parkinson’s Disease","1, 2"
"Neurocognitive Disorder, Anthrax","1, 0"
"Neurocognitive Disorder, RSV","1, 0"
"Neurocognitive Disorder, Bulimia","1, 1"
"Neurocognitive Disorder, Chronic Sinusitis","1, 2"
"Neurocognitive Disorder, Norovirus","1, 0"
"Neurocognitive Disorder, Spina Bifida","1, 3"
"Neurocognitive Disorder, Paget's Disease","1, 2"
"Neurocognitive Disorder, Barrett’s Esophagus","1, 2"
"Neurocognitive Disorder, Heart Disease","1, 2"
"Neurocognitive Disorder, Limb Girdle Disorder","1, 3"
"Neurocognitive Disorder, Dissociative Identity Disorder","1, 1"
"Neurocognitive Disorder, Yellow Fever","1, 0"
"Neurocognitive Disorder, Sinus Infection","1, 0"
"Neurocognitive Disorder, Influenza","1, 0"
"Neurocognitive Disorder, Hepatitis A","1, 0"
"Neurocognitive Disorder, Sickle Cell Disease","1, 2"
"Neurocognitive Disorder, Visual Impairment","1, 3"
"Neurocognitive Disorder, Hypertension","1, 2"
"Neurocognitive Disorder, Endometriosis","1, 2"
"Neurocognitive Disorder, Bacterial Meningitis","1, 0"
"Neurocognitive Disorder, Catatonia","1, 1"
"Neurocognitive Disorder, Muscular Dystrophy","1, 3"
"Neurocognitive Disorder, Dwarfism","1, 3"
"Neurocognitive Disorder, Pathological Gambling","1, 1"
"Neurocognitive Disorder, Traumatic Brain Injury","1, 3"
"Neurocognitive Disorder, Somatic Symptom Disorder","1, 1"
"Neurocognitive Disorder, Anorexia","1, 1"
"Neurocognitive Disorder, Polycystic Kidney Disease","1, 2"
"Neurocognitive Disorder, Hip Dysplasia","1, 3"
"Neurocognitive Disorder, Campylobacteriosis","1, 0"
"Neurocognitive Disorder, Schizophrenia","1, 1"
"Neurocognitive Disorder, Selective Mutism","1, 1"
"Neurocognitive Disorder, Microcephaly","1, 3"
"Neurocognitive Disorder, Psychotic Depression","1, 1"
"Neurocognitive Disorder, Giardiasis","1, 0"
"Neurocognitive Disorder, Mobility Impairment","1, 3"
"Neurocognitive Disorder, Tetanus","1, 0"
"Neurocognitive Disorder, Leptospirosis","1, 0"
"Neurocognitive Disorder, Substance Use Disorder","1, 1"
"Neurocognitive Disorder, Mood Disorder","1, 1"
"Neurocognitive Disorder, Spastic Diplegia","1, 3"
"Neurocognitive Disorder, Amyloidosis","1, 2"
"Neurocognitive Disorder, Paratyphoid Fever","1, 0"
"Neurocognitive Disorder, OCD","1, 1"
"Neurocognitive Disorder, Scoliosis","1, 3"
"Neurocognitive Disorder, Arthrogryposis","1, 3"
"Neurocognitive Disorder, Arthritis","1, 2"
"Neurocognitive Disorder, Claw Hand","1, 3"
"Neurocognitive Disorder, Sleep Disorder","1, 1"
"Neurocognitive Disorder, Polio","1, 3"
"Neurocognitive Disorder, Measles","1, 0"
"Neurocognitive Disorder, Hearing Loss","1, 3"
"Neurocognitive Disorder, Borderline Personality Disorder","1, 1"
"Neurocognitive Disorder, Short Stature","1, 3"
"Neurocognitive Disorder, Delirium","1, 1"
"Neurocognitive Disorder, Chikungunya","1, 0"
"Neurocognitive Disorder, PTSD","1, 1"
"Neurocognitive Disorder, Botulism","1, 0"
"Neurocognitive Disorder, Chickenpox","1, 0"
"Neurocognitive Disorder, Blindness","1, 3"
"Neurocognitive Disorder, Anxiety","1, 1"
"Neurocognitive Disorder, Strep Throat","1, 0"
"Neurocognitive Disorder, Trichotillomania","1, 1"
"Neurocognitive Disorder, ADHD","1, 1"
"Neurocognitive Disorder, Amputation","1, 3"
"Neurocognitive Disorder, Gout","1, 2"
"Neurocognitive Disorder, Zika Virus","1, 0"
"Neurocognitive Disorder, Chronic Kidney Disease","1, 2"
"Neurocognitive Disorder, Paraphilic Disorder","1, 1"
"Neurocognitive Disorder, Paralysis","1, 3"
"Neurocognitive Disorder, Thalassemia","1, 2"
"Neurocognitive Disorder, Torticollis","1, 3"
"Neurocognitive Disorder, Cerebral Palsy","1, 3"
"Neurocognitive Disorder, Listeriosis","1, 0"
"Neurocognitive Disorder, Paranoia","1, 1"
"Neurocognitive Disorder, E. coli Infection","1, 0"
"Neurocognitive Disorder, COPD","1, 2"
"Neurocognitive Disorder, Lupus","1, 2"
"Neurocognitive Disorder, Typhoid Fever","1, 0"
"Neurocognitive Disorder, Whooping Cough","1, 0"
"Neurocognitive Disorder, Hand Deformity","1, 3"
"Neurocognitive Disorder, Chronic Urticaria","1, 2"
"Neurocognitive Disorder, Food Poisoning","1, 0"
"Neurocognitive Disorder, Psychosis","1, 1"
"Neurocognitive Disorder, Myasthenia Gravis","1, 2"
"Neurocognitive Disorder, Peripheral Artery Disease","1, 2"
"Neurocognitive Disorder, Dengue Fever","1, 0"
"Neurocognitive Disorder, Coxa Vara","1, 3"
"Neurocognitive Disorder, Hepatitis C","1, 0"
"Neurocognitive Disorder, Asthma","1, 2"
"Neurocognitive Disorder, COVID-19","1, 0"
"Neurocognitive Disorder, Rheumatic Heart Disease","1, 2"
"Neurocognitive Disorder, Histrionic Personality Disorder","1, 1"
"Neurocognitive Disorder, Hepatitis B","1, 0"
"Neurocognitive Disorder, Thyroid Disease","1, 2"
"Neurocognitive Disorder, Hemiplegia","1, 3"
"Neurocognitive Disorder, Chronic Appendicitis","1, 2"
"Neurocognitive Disorder, Clubfoot","1, 3"
"Neurocognitive Disorder, Speech Impairment","1, 3"
"Neurocognitive Disorder, Fibromyalgia","1, 2"
"Neurocognitive Disorder, Ulcerative Colitis","1, 2"
"Neurocognitive Disorder, Osteogenesis Imperfecta","1, 3"
"Neurocognitive Disorder, Muscle Weakness","1, 3"
"Neurocognitive Disorder, Toxoplasmosis","1, 0"
"Neurocognitive Disorder, Psoriasis","1, 2"
"Neurocognitive Disorder, Narcissistic Personality Disorder","1, 1"
"Neurocognitive Disorder, Phobias","1, 1"
"Neurocognitive Disorder, Chronic Pancreatitis","1, 2"
"Neurocognitive Disorder, Chronic Migraine","1, 2"
"Neurocognitive Disorder, Cystic Fibrosis","1, 2"
"Neurocognitive Disorder, Seasonal Affective Disorder","1, 1"
"Neurocognitive Disorder, Frozen Shoulder","1, 3"
"Neurocognitive Disorder, Bipolar Disorder","1, 1"
"Neurocognitive Disorder, Chronic Fatigue Syndrome","1, 2"
"Neurocognitive Disorder, Quadriplegia","1, 3"
"Neurocognitive Disorder, Mania","1, 1"
"Neurocognitive Disorder, Monoplegia","1, 3"
"Neurocognitive Disorder, Mumps","1, 0"
"Neurocognitive Disorder, Ear Infection","1, 0"
"Neurocognitive Disorder, Diabetes","1, 2"
"Neurocognitive Disorder, Multiple Sclerosis","1, 3"
"Neurocognitive Disorder, Impulse Control Disorder","1, 1"
"Neurocognitive Disorder, Autism Spectrum Disorder","1, 1"
"Neurocognitive Disorder, Hyperactivity Disorder","1, 1"
"Neurocognitive Disorder, Sarcoidosis","1, 2"
"Neurocognitive Disorder, Drop Foot","1, 3"
"Neurocognitive Disorder, Scarlet Fever","1, 0"
"Neurocognitive Disorder, Tuberculosis","1, 0"
"Neurocognitive Disorder, Schizoaffective Disorder","1, 1"
"Neurocognitive Disorder, Common Cold","1, 0"
"Neurocognitive Disorder, Celiac Disease","1, 2"
"Neurocognitive Disorder, Bronchitis","1, 0"
"Neurocognitive Disorder, Emotional Dysregulation","1, 1"
"Neurocognitive Disorder, Chronic Bronchitis","1, 2"
"Neurocognitive Disorder, Postural Deformity","1, 3"
"Neurocognitive Disorder, Eating Disorder","1, 1"
"Cirrhosis, Kleptomania","2, 1"
"Cirrhosis, Graves’ Disease","2, 2"
"Cirrhosis, Balance Disorder","2, 3"
"Cirrhosis, Social Anxiety Disorder","2, 1"
"Cirrhosis, Autoimmune Hepatitis","2, 2"
"Cirrhosis, Tic Disorders","2, 1"
"Cirrhosis, Panic Disorder","2, 1"
